shift,cost
-32,5000000.0
-31,5000000.0
-30,5000000.0
-29,5000000.0
-28,5000000.0
-27,5000000.0
-26,5000000.0
-25,5000000.0
-24,5000000.0
-23,5000000.0
-22,5000000.0
-21,4999999.999999998
-20,4999999.999999959
-19,4999999.999999083
-18,4999999.999982289
-17,4999999.999708753
-16,4999999.995918696
-15,4999999.951264065
-14,4999999.504078996
-13,4999995.699800711
-12,4999968.225586222
-11,4999799.93118792
-10,4998926.519590712
-9,4995091.805826162
-8,4980876.72673598
-7,4936508.496817985
-6,4820368.758930067
-5,4566927.093629216
-4,4110280.6383257424
-3,3442392.7777886256
-2,2676323.043875008
-1,2046027.3100850708
0,1799996.6921543935
1,2046003.249706013
2,2676169.1822779737
3,3441567.0267670997
4,4106505.104569903
5,4552216.883439748
6,4771529.141098476
7,4798330.619072455
8,4647743.721845858
9,4310692.2970183
10,3800767.1203046283
11,3212356.147621912
12,2727681.834480657
13,2538457.2382622496
14,2727713.1129734316
15,3212556.1676980564
16,3801840.596632612
17,4315600.490900891
18,4666866.995092166
19,4861822.122253522
20,4951160.3821676625
21,4985289.7897969065
22,4996224.466020124
23,4999174.245839009
24,4999846.100913785
25,4999975.558143247
26,4999996.6921543935
27,4999999.618522305
28,4999999.96251082
29,4999999.996860535
30,4999999.999775964
31,4999999.999986377
32,4999999.999999294
