shift,cost
-32,4861822.122253734
-31,4666866.995096253
-30,4315600.490968102
-29,3801840.597574451
-28,3212556.1789448108
-27,2727713.2274167403
-26,2538458.230615932
-25,2727689.167037682
-24,3212402.3173477766
-23,3801014.846552925
-22,4311824.957212262
-21,4652156.784906783
-20,4812982.504422102
-19,4812982.504421226
-18,4652156.784889074
-17,4311824.956921015
-16,3801014.842471621
-15,3212402.268611842
-14,2727688.6711166785
-13,2538453.930416643
-12,2727681.453002962
-11,3212356.1101327315
-10,3800767.117165163
-9,4310692.296794264
-8,4647743.7218322335
-7,4798330.619071718
-6,4771529.141097739
-5,4552216.883426123
-4,4106505.104345867
-3,3441567.0236276346
-2,2676169.144788793
-1,2046002.868228318
0,1799993.384308787
1,2046002.868228318
2,2676169.144788793
3,3441567.0236276346
4,4106505.104345867
5,4552216.883426123
6,4771529.141097739
7,4798330.619071718
8,4647743.7218322335
9,4310692.296794264
10,3800767.117165163
11,3212356.110132731
12,2727681.453002962
13,2538453.930416643
14,2727688.6711166785
15,3212402.2686118414
16,3801014.842471621
17,4311824.956921015
18,4652156.784889074
19,4812982.504421226
20,4812982.504422102
21,4652156.784906783
22,4311824.957212262
23,3801014.846552925
24,3212402.317347777
25,2727689.167037682
26,2538458.230615932
27,2727713.2274167403
28,3212556.178944811
29,3801840.597574451
30,4315600.490968102
31,4666866.995096253
32,4861822.122253734
