shift,cost
-32,5000000.0
-31,5000000.0
-30,5000000.0
-29,5000000.0
-28,5000000.0
-27,5000000.0
-26,5000000.0
-25,5000000.0
-24,5000000.0
-23,5000000.0
-22,5000000.0
-21,4999999.999999998
-20,4999999.999999959
-19,4999999.999999083
-18,4999999.999982289
-17,4999999.999708753
-16,4999999.995918696
-15,4999999.951264065
-14,4999999.504078996
-13,4999995.699800711
-12,4999968.225586222
-11,4999799.93118792
-10,4998926.519590712
-9,4995091.805826162
-8,4980876.726735979
-7,4936508.496817977
-6,4820368.758929898
-5,4566927.093625972
-4,4110280.6382724005
-3,3442392.777041134
-2,2676323.0349490126
-1,2046027.219257048
0,1799995.9045721062
1,2045997.4302163098
2,2676132.5396383987
3,3441370.418633531
4,4105606.167908028
5,4548714.452439012
6,4759900.660662215
7,4765431.124371132
8,4568426.339729162
9,4147740.0330164274
10,3515491.07285556
11,2786774.2943919096
12,2186661.2651698077
13,1952376.6521816636
14,2186692.5436625825
15,2786974.314468054
16,3516564.549183544
17,4152648.2268990185
18,4587549.61297547
19,4828922.627552199
20,4939531.901731402
21,4981787.358796171
22,4995325.529358249
23,4998977.63770544
24,4999809.45827421
25,4999969.738653544
26,4999995.904572106
27,4999999.527694282
28,4999999.953584824
29,4999999.996113043
30,4999999.999722621
31,4999999.999983133
32,4999999.9999991255
