shift,cost
-32,5000000.0
-31,5000000.0
-30,5000000.0
-29,5000000.0
-28,5000000.0
-27,5000000.0
-26,5000000.0
-25,5000000.0
-24,5000000.0
-23,5000000.0
-22,5000000.0
-21,4999999.999999998
-20,4999999.999999959
-19,4999999.999999083
-18,4999999.999982289
-17,4999999.999708753
-16,4999999.995918696
-15,4999999.951264065
-14,4999999.504078996
-13,4999995.699800711
-12,4999968.225586222
-11,4999799.93118792
-10,4998926.519590712
-9,4995091.805826162
-8,4980876.72673598
-7,4936508.49681799
-6,4820368.758930199
-5,4566927.09363177
-4,4110280.6383677493
-3,3442392.7783772754
-2,2676323.0509042293
-1,2046027.3816121386
0,1799997.3123754447
1,2046007.832554154
2,2676198.038356639
3,3441721.8556722854
4,4107213.0171911297
5,4554975.047852827
6,4780686.569442032
7,4824238.971149748
8,4710206.160262756
9,4439017.204919774
10,4025422.0076707685
11,3547501.8570405385
12,3153735.53281295
13,2999995.699800711
14,3153766.811305725
15,3547701.877116683
16,4026495.483998752
17,4443925.398802365
18,4729329.433509064
19,4887730.4743308155
20,4960317.810511218
21,4988047.954209986
22,4996932.378641351
23,4999329.074744195
24,4999874.95699245
25,4999980.140991388
26,4999997.312375445
27,4999999.690049373
28,4999999.969540041
29,4999999.997449185
30,4999999.99981797
31,4999999.999988931
32,4999999.999999426
