shift,cost
-32,4999999.999999294
-31,4999999.999986377
-30,4999999.999775964
-29,4999999.996860535
-28,4999999.96251082
-27,4999999.618522305
-26,4999996.6921543935
-25,4999975.558143247
-24,4999846.100913785
-23,4999174.245839009
-22,4996224.466020124
-21,4985289.7897969065
-20,4951160.3821676625
-19,4861822.122253522
-18,4666866.995092166
-17,4315600.490900891
-16,3801840.596632612
-15,3212556.1676980564
-14,2727713.1129734316
-13,2538457.2382622496
-12,2727681.834480657
-11,3212356.147621912
-10,3800767.1203046283
-9,4310692.2970183
-8,4647743.721845857
-7,4798330.619072424
-6,4771529.14109777
-5,4552216.883426124
-4,4106505.104345867
-3,3441567.0236276346
-2,2676169.144788793
-1,2046002.868228318
0,1799993.384308787
1,2046002.868228318
2,2676169.144788793
3,3441567.0236276346
4,4106505.104345867
5,4552216.883426124
6,4771529.14109777
7,4798330.619072424
8,4647743.721845857
9,4310692.2970183
10,3800767.1203046283
11,3212356.147621912
12,2727681.834480657
13,2538457.2382622496
14,2727713.1129734316
15,3212556.1676980564
16,3801840.596632612
17,4315600.490900891
18,4666866.995092166
19,4861822.122253522
20,4951160.3821676625
21,4985289.7897969065
22,4996224.466020124
23,4999174.245839009
24,4999846.100913785
25,4999975.558143247
26,4999996.6921543935
27,4999999.618522305
28,4999999.96251082
29,4999999.996860535
30,4999999.999775964
31,4999999.999986377
32,4999999.999999294
