shift,cost
-32,4887730.474331159
-31,4729329.433515706
-30,4443925.398911582
-29,4026495.485529241
-28,3547701.8953926587
-27,3153766.9972761017
-26,2999997.312375445
-25,3153747.448218117
-24,3547576.8828450684
-23,4025824.562824251
-22,4440857.777734963
-21,4717377.387736761
-20,4848048.284842951
-19,4848048.284842075
-18,4717377.387719052
-17,4440857.777443716
-16,4025824.558742947
-15,3547576.834109133
-14,3153746.952297113
-13,2999993.012176156
-12,3153735.222862323
-11,3547501.8265805794
-10,4025422.0051199533
-9,4439017.204737744
-8,4710206.160251686
-7,4824238.971149149
-6,4780686.569441433
-5,4554975.047841758
-4,4107213.0170091004
-3,3441721.85312147
-2,2676198.0078966795
-1,2046007.522603527
0,1799994.6247508894
1,2046007.522603527
2,2676198.0078966795
3,3441721.85312147
4,4107213.0170091004
5,4554975.047841758
6,4780686.569441433
7,4824238.971149149
8,4710206.160251686
9,4439017.204737744
10,4025422.0051199533
11,3547501.826580579
12,3153735.2228623233
13,2999993.012176156
14,3153746.9522971134
15,3547576.834109133
16,4025824.558742947
17,4440857.777443716
18,4717377.387719052
19,4848048.284842075
20,4848048.284842951
21,4717377.387736761
22,4440857.777734963
23,4025824.562824251
24,3547576.8828450684
25,3153747.4482181165
26,2999997.312375445
27,3153766.9972761013
28,3547701.895392659
29,4026495.485529241
30,4443925.398911582
31,4729329.433515706
32,4887730.474331159
