shift,cost
-32,4999999.999999202
-31,4999999.9999846
-30,4999999.999746742
-29,4999999.99645104
-28,4999999.957620926
-27,4999999.568764345
-26,4999996.2606962705
-25,4999972.370074975
-24,4999826.027119931
-23,4999066.538774532
-22,4995732.005066227
-21,4983371.066726938
-20,4944789.9972330155
-19,4843798.920808449
-18,4623414.864019541
-17,4226330.989752039
-16,3645558.935856166
-15,2979411.3263633596
-14,2431327.9315248793
-13,2217387.004148537
-12,2431296.6530321045
-11,2979211.306287215
-10,3644485.459528182
-9,4221422.795869447
-8,4604291.590773231
-7,4780307.417627347
-6,4765158.756163031
-5,4550298.160354379
-4,4106012.643362748
-3,3441459.3161536627
-2,2676149.0661050454
-1,2045999.6304020856
0,1799992.521392542
1,2045999.6304020856
2,2676149.0661050454
3,3441459.3161536627
4,4106012.643362748
5,4550298.160354379
6,4765158.756163031
7,4780307.417627347
8,4604291.590773232
9,4221422.795869447
10,3644485.459528182
11,2979211.306287215
12,2431296.6530321045
13,2217387.004148537
14,2431327.9315248793
15,2979411.3263633596
16,3645558.935856166
17,4226330.989752039
18,4623414.864019541
19,4843798.920808449
20,4944789.9972330155
21,4983371.066726938
22,4995732.005066227
23,4999066.538774532
24,4999826.027119931
25,4999972.370074975
26,4999996.2606962705
27,4999999.568764345
28,4999999.957620926
29,4999999.99645104
30,4999999.999746742
31,4999999.9999846
32,4999999.999999202
