shift,cost
-32,4999999.9999991255
-31,4999999.999983133
-30,4999999.999722621
-29,4999999.996113043
-28,4999999.953584824
-27,4999999.527694282
-26,4999995.904572106
-25,4999969.738653544
-24,4999809.45827421
-23,4998977.63770544
-22,4995325.529358249
-21,4981787.358796171
-20,4939531.901731402
-19,4828922.627552199
-18,4587549.61297547
-17,4152648.2268990185
-16,3516564.549183544
-15,2786974.314468054
-14,2186692.5436625825
-13,1952376.6521816636
-12,2186661.2651698077
-11,2786774.2943919096
-10,3515491.07285556
-9,4147740.0330164274
-8,4568426.33972916
-7,4765431.124371094
-6,4759900.660661341
-5,4548714.452422145
-4,4105606.1676306496
-3,3441370.414746574
-2,2676132.4932232224
-1,2045996.9579105922
0,1799991.8091442124
1,2045996.9579105922
2,2676132.4932232224
3,3441370.414746574
4,4105606.1676306496
5,4548714.452422145
6,4759900.660661341
7,4765431.124371094
8,4568426.33972916
9,4147740.0330164274
10,3515491.07285556
11,2786774.2943919096
12,2186661.2651698077
13,1952376.6521816636
14,2186692.5436625825
15,2786974.314468054
16,3516564.549183544
17,4152648.2268990185
18,4587549.61297547
19,4828922.627552199
20,4939531.901731402
21,4981787.358796171
22,4995325.529358249
23,4998977.63770544
24,4999809.45827421
25,4999969.738653544
26,4999995.904572106
27,4999999.527694282
28,4999999.953584824
29,4999999.996113043
30,4999999.999722621
31,4999999.999983133
32,4999999.9999991255
