shift,cost
-32,4828922.627552242
-31,4587549.612976314
-30,4152648.2269128873
-29,3516564.5493778912
-28,2786974.316788813
-27,2186692.5672778687
-26,1952376.8569530586
-25,2186662.77823713
-24,2786783.821478199
-23,3515542.190970288
-22,4147973.7565485146
-21,4569336.971789352
-20,4768454.529284518
-19,4768454.529283642
-18,4569336.971771643
-17,4147973.7562572677
-16,3515542.1868889835
-15,2786783.772742264
-14,2186662.282316127
-13,1952372.5567537695
-12,2186660.79286409
-11,2786774.2479767334
-10,3515491.0689686034
-9,4147740.032739049
-8,4568426.339712293
-7,4765431.124370219
-6,4759900.6606613025
-5,4548714.452422143
-4,4105606.1676306496
-3,3441370.414746574
-2,2676132.4932232224
-1,2045996.9579105922
0,1799991.8091442124
1,2045996.9579105922
2,2676132.4932232224
3,3441370.414746574
4,4105606.1676306496
5,4548714.452422143
6,4759900.6606613025
7,4765431.124370219
8,4568426.339712293
9,4147740.0327390493
10,3515491.0689686034
11,2786774.2479767334
12,2186660.7928640903
13,1952372.5567537697
14,2186662.2823161264
15,2786783.772742264
16,3515542.186888984
17,4147973.7562572677
18,4569336.971771643
19,4768454.529283642
20,4768454.529284518
21,4569336.971789352
22,4147973.7565485146
23,3515542.1909702877
24,2786783.821478199
25,2186662.7782371305
26,1952376.8569530584
27,2186692.5672778683
28,2786974.316788813
29,3516564.5493778912
30,4152648.226912887
31,4587549.612976314
32,4828922.627552242
