shift,cost
-32,4843798.920808569
-31,4623414.864021851
-30,4226330.989790028
-29,3645558.93638851
-28,2979411.3327202206
-27,2431327.9962102277
-26,2217387.5650440967
-25,2431300.797520858
-24,2979237.4022192257
-23,3644625.4787120023
-22,4222062.995109513
-21,4606785.930764189
-20,4788588.918042382
-19,4788588.918041506
-18,4606785.930746481
-17,4222062.9948182665
-16,3644625.474630698
-15,2979237.3534832904
-14,2431300.3015998546
-13,2217383.2648448073
-12,2431296.2217964493
-11,2979211.2639081413
-10,3644485.455979222
-9,4221422.795616189
-8,4604291.590757831
-7,4780307.417626549
-6,4765158.7561629955
-5,4550298.160354378
-4,4106012.643362748
-3,3441459.3161536627
-2,2676149.0661050454
-1,2045999.6304020856
0,1799992.521392542
1,2045999.6304020856
2,2676149.0661050454
3,3441459.3161536627
4,4106012.643362748
5,4550298.160354378
6,4765158.7561629955
7,4780307.417626549
8,4604291.590757832
9,4221422.795616189
10,3644485.455979222
11,2979211.263908141
12,2431296.2217964493
13,2217383.264844808
14,2431300.301599854
15,2979237.3534832904
16,3644625.474630698
17,4222062.9948182665
18,4606785.930746481
19,4788588.918041506
20,4788588.918042382
21,4606785.930764189
22,4222062.995109513
23,3644625.4787120023
24,2979237.4022192257
25,2431300.7975208582
26,2217387.565044096
27,2431327.9962102277
28,2979411.332720221
29,3645558.93638851
30,4226330.989790028
31,4623414.864021851
32,4843798.920808569
